"","borough","year","leader","clerk","control","seats.labour","seats.other","seats.tory","seats.libdem","plabour","clabour"
"43","Barking and Dagenham",2006,"Charles Fairbrass","Rob Whiteman","Labour",39,11,1,0,0.764705882352941,1
"44","Barking and Dagenham",2007,"Charles Fairbrass","Rob Whiteman","Labour",38,12,1,0,0.745098039215686,1
"45","Barking and Dagenham",2008,"Charles Fairbrass","Rob Whiteman","Labour",37,12,2,0,0.725490196078431,1
"46","Barking and Dagenham",2009,"Liam Smith","Rob Whiteman","Labour",37,12,2,0,0.725490196078431,1
"47","Barking and Dagenham",2010,"Liam Smith","David Woods","Labour",51,0,0,0,1,1
"48","Barking and Dagenham",2011,"Liam Smith","Stella Manzie","Labour",51,0,0,0,1,1
"49","Barking and Dagenham",2012,"Liam Smith","Graham Farrant","Labour",49,1,1,0,0.96078431372549,1
"50","Barking and Dagenham",2013,"Liam Smith","Graham Farrant","Labour",51,0,1,0,0.980769230769231,1
"51","Barking and Dagenham",2014,"Darren Rodwell","Graham Farrant","Labour",51,0,0,0,1,1
"52","Barking and Dagenham",2015,"Darren Rodwell","Chris Naylor","Labour",51,0,0,0,1,1
"53","Barking and Dagenham",2016,"Darren Rodwell","Chris Naylor","Labour",51,0,0,0,1,1
"54","Barking and Dagenham",2017,"Darren Rodwell","Chris Naylor","Labour",49,0,0,0,1,1
"55","Barking and Dagenham",2018,"Darren Rodwell","Chris Naylor","Labour",51,0,0,0,1,1
"56","Barnet",1964,"Unknown","RH Williams","Conservative",13,0,37,6,0.232142857142857,0
"57","Barnet",1965,"Unknown","RH Williams","Conservative",13,0,37,6,0.232142857142857,0
"58","Barnet",1966,"Unknown","RH Williams","Conservative",13,0,37,6,0.232142857142857,0
"59","Barnet",1967,"Unknown","RH Williams","Conservative",13,0,37,6,0.232142857142857,0
"60","Barnet",1968,"Unknown","RH Williams","Conservative",3,0,56,1,0.05,0
"61","Barnet",1969,"Alan Philip Fletcher","RH Williams","Conservative",3,0,56,1,0.05,0
"62","Barnet",1970,"Alan Philip Fletcher","RH Williams","Conservative",3,0,56,1,0.05,0
"63","Barnet",1971,"Alan Philip Fletcher","RH Williams","Conservative",17,0,43,0,0.283333333333333,0
"64","Barnet",1972,"Alan Philip Fletcher","RH Williams","Conservative",17,0,43,0,0.283333333333333,0
"65","Barnet",1973,"Andrew Pares","RH Williams","Conservative",17,0,43,0,0.283333333333333,0
"66","Barnet",1974,"Andrew Pares","RH Williams","Conservative",17,1,42,0,0.283333333333333,0
"67","Barnet",1975,"Andrew Pares","Ernest Michael Bennett","Conservative",17,1,42,0,0.283333333333333,0
"68","Barnet",1976,"Leslie Pym","Ernest Michael Bennett","Conservative",17,1,42,0,0.283333333333333,0
"69","Barnet",1977,"Leslie Pym","Ernest Michael Bennett","Conservative",17,1,42,0,0.283333333333333,0
"70","Barnet",1978,"Leslie Pym","Ernest Michael Bennett","Conservative",10,1,49,0,0.166666666666667,0
"71","Barnet",1979,"Leslie Pym","Ernest Michael Bennett","Conservative",10,1,49,0,0.166666666666667,0
"72","Barnet",1980,"Leslie Pym","Ernest Michael Bennett","Conservative",10,1,49,0,0.166666666666667,0
"73","Barnet",1981,"Leslie Pym","Ernest Michael Bennett","Conservative",10,1,49,0,0.166666666666667,0
"74","Barnet",1982,"Leslie Pym","Ernest Michael Bennett","Conservative",12,0,48,0,0.2,0
"75","Barnet",1983,"Leslie Pym","Ernest Michael Bennett","Conservative",12,0,48,0,0.2,0
"76","Barnet",1984,"Leslie Pym","Ernest Michael Bennett","Conservative",12,0,48,0,0.2,0
"77","Barnet",1985,"Leslie Pym","Ernest Michael Bennett","Conservative",12,0,48,0,0.2,0
"78","Barnet",1986,"Leslie Pym","Ernest Michael Bennett","Conservative",18,0,39,3,0.3,0
"79","Barnet",1987,"Leslie Pym","Ernest Michael Bennett","Conservative",18,0,39,3,0.3,0
"80","Barnet",1988,"Leslie Pym","Ernest Michael Bennett","Conservative",18,0,39,3,0.3,0
"81","Barnet",1989,"Leslie Pym","Ernest Michael Bennett","Conservative",18,0,39,3,0.3,0
"82","Barnet",1990,"Leslie Pym","Max Caller","Conservative",18,0,39,3,0.3,0
"83","Barnet",1991,"Roy Shutz","Max Caller","Conservative",18,0,39,3,0.3,0
"84","Barnet",1992,"Roy Shutz","Max Caller","Conservative",18,0,39,3,0.3,0
"85","Barnet",1993,"Roy Shutz","Max Caller","Conservative",18,0,39,3,0.3,0
"86","Barnet",1994,"Alan Williams","Max Caller","No Overall ControlLabour minority",25,0,29,6,0.416666666666667,0
"87","Barnet",1995,"Alan Williams","Max Caller","No Overall ControlLabour minority",25,0,29,6,0.416666666666667,0
"88","Barnet",1996,"Alan Williams","Max Caller","No Overall ControlLabour minority",25,0,29,6,0.416666666666667,0
"89","Barnet",1997,"Alan Williams","Max Caller","No Overall ControlLabour minority",25,0,29,6,0.416666666666667,0
"90","Barnet",1998,"Alan Williams","Max Caller","No Overall Control",26,0,28,6,0.433333333333333,0
"91","Barnet",1999,"Alan Williams","Max Caller","No Overall Control",26,0,28,6,0.433333333333333,0
"92","Barnet",2000,"Alan Williams","Rita Dexter","No Overall Control",26,0,28,6,0.433333333333333,0
"93","Barnet",2001,"Alan Williams","Leo Boland","No Overall Control",26,0,28,6,0.433333333333333,0
"94","Barnet",2002,"Victor Lyon","Leo Boland","Conservative",24,0,33,6,0.380952380952381,0
"95","Barnet",2003,"Victor Lyon","Leo Boland","Conservative",24,0,33,6,0.380952380952381,0
"96","Barnet",2004,"Victor Lyon","Leo Boland","Conservative",23,1,33,6,0.365079365079365,0
"97","Barnet",2005,"Brian Salinger","Leo Boland","Conservative",24,0,33,6,0.380952380952381,0
"98","Barnet",2006,"Mike Freer","Leo Boland","Conservative",20,0,37,6,0.317460317460317,0
"99","Barnet",2007,"Mike Freer","Leo Boland","Conservative",20,0,37,6,0.317460317460317,0
"100","Barnet",2008,"Mike Freer","Leo Boland","Conservative",20,0,37,6,0.317460317460317,0
"101","Barnet",2009,"Mike Freer","Nick Walkley","Conservative",20,0,37,6,0.317460317460317,0
"102","Barnet",2010,"Lynne Hillan","Nick Walkley","Conservative",21,0,39,3,0.333333333333333,0
"103","Barnet",2011,"Richard Cornelius","Nick Walkley","Conservative",21,0,39,3,0.333333333333333,0
"104","Barnet",2012,"Richard Cornelius","Nick Walkley","Conservative",22,0,38,3,0.349206349206349,0
"105","Barnet",2013,"Richard Cornelius","Andrew Travers","Conservative",22,0,38,3,0.349206349206349,0
"106","Barnet",2014,"Richard Cornelius","Andrew Travers","Conservative",30,0,32,1,0.476190476190476,0
"107","Barnet",2015,"Richard Cornelius","Andrew Travers","Conservative",30,0,32,1,0.476190476190476,0
"108","Barnet",2016,"Richard Cornelius","Andrew Travers","Conservative",30,0,32,1,0.476190476190476,0
"109","Barnet",2017,"Richard Cornelius","John Hooton","Conservative",30,0,32,1,0.476190476190476,0
"110","Barnet",2018,"Daniel Thomas","John Hooton","Conservative",25,0,38,0,0.396825396825397,0
"111","Bexley",1964,"Jim Wellbeloved","Clive Dennis","Labour",39,0,17,0,0.696428571428571,1
"112","Bexley",1965,"Jim Wellbeloved","Clive Dennis","Labour",39,0,17,0,0.696428571428571,1
"113","Bexley",1966,"Peter Maxwell","Clive Dennis","Labour",39,0,17,0,0.696428571428571,1
"114","Bexley",1967,"Peter Maxwell","Clive Dennis","Labour",39,0,17,0,0.696428571428571,1
"115","Bexley",1968,"Frederick Brearley","Clive Dennis","Conservative",0,1,55,0,0,0
"116","Bexley",1969,"Frederick Brearley","Clive Dennis","Conservative",0,1,55,0,0,0
"117","Bexley",1970,"Frederick Brearley","Clive Dennis","Conservative",0,1,55,0,0,0
"118","Bexley",1971,"Peter Maxwell","Clive Dennis","Labour",32,0,24,0,0.571428571428571,1
"119","Bexley",1972,"Peter Maxwell","Ernest Michael Bennett","Labour",32,0,24,0,0.571428571428571,1
"120","Bexley",1973,"Peter Maxwell","Ernest Michael Bennett","Labour",32,0,24,0,0.571428571428571,1
"121","Bexley",1974,"Julian Tremayne","Ernest Michael Bennett","Conservative",22,0,37,0,0.372881355932203,0
"122","Bexley",1975,"Julian Tremayne","Terrence Musgrave","Conservative",22,0,37,0,0.372881355932203,0
"123","Bexley",1976,"Julian Tremayne","Terrence Musgrave","Conservative",22,0,37,0,0.372881355932203,0
"124","Bexley",1977,"Julian Tremayne","Terrence Musgrave","Conservative",22,0,37,0,0.372881355932203,0
"125","Bexley",1978,"Leonard Newton","Terrence Musgrave","Conservative",18,1,43,0,0.290322580645161,0
"126","Bexley",1979,"Leonard Newton","Terrence Musgrave","Conservative",18,1,43,0,0.290322580645161,0
"127","Bexley",1980,"Leonard Newton","Terrence Musgrave","Conservative",18,1,43,0,0.290322580645161,0
"128","Bexley",1981,"Leonard Newton","Terrence Musgrave","Conservative",18,1,43,0,0.290322580645161,0
"129","Bexley",1982,"Leonard Newton","Terrence Musgrave","Conservative",14,0,41,7,0.225806451612903,0
"130","Bexley",1983,"Leonard Newton","Terrence Musgrave","Conservative",14,0,41,7,0.225806451612903,0
"131","Bexley",1984,"Leonard Newton","Terrence Musgrave","Conservative",14,0,41,7,0.225806451612903,0
"132","Bexley",1985,"Leonard Newton","Terrence Musgrave","Conservative",14,0,41,7,0.225806451612903,0
"133","Bexley",1986,"Leonard Newton","Terrence Musgrave","Conservative",15,0,36,11,0.241935483870968,0
"134","Bexley",1987,"Leonard Newton","Terrence Musgrave","Conservative",15,0,36,11,0.241935483870968,0
"135","Bexley",1988,"Leonard Newton","Terrence Musgrave","Conservative",15,0,36,11,0.241935483870968,0
"136","Bexley",1989,"Leonard Newton","Terrence Musgrave","Conservative",15,0,36,11,0.241935483870968,0
"137","Bexley",1990,"Leonard Newton","Terrence Musgrave","Conservative",18,9,35,0,0.290322580645161,0
"138","Bexley",1991,"Leonard Newton","Terrence Musgrave","Conservative",18,9,35,0,0.290322580645161,0
"139","Bexley",1992,"Leonard Newton","Terrence Musgrave","Conservative",18,9,35,0,0.290322580645161,0
"140","Bexley",1993,"Leonard Newton","Terrence Musgrave","Conservative",18,2,34,8,0.290322580645161,0
"141","Bexley",1994,"Donna BriantChair, policy committee
Group leaders:
K McAndrew (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Terrence Musgrave","No Overall ControlLabour minority",24,0,24,14,0.387096774193548,0
"142","Bexley",1995,"Donna BriantChair, policy and resources committee
Group leaders:
MA Slaughter (Con)
Donna Briant (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority",24,0,24,14,0.387096774193548,0
"143","Bexley",1996,"Kathryn SmithChair, policy and resources committee
Group leaders:
Lab - Kathryn Smith
Con - MA Slaughter
Lib Dem - BC Standen","Chris Duffield","No Overall ControlLabour minority",24,0,24,14,0.387096774193548,0
"144","Bexley",1997,"Kathryn SmithCommittees chaired in rotation
Group leaders:
MA Slaughter (Con)
Kathryn Smith (Lab)
BC Standen (Lib Dem)","Chris Duffield","No Overall ControlLabour minority",24,0,24,14,0.387096774193548,0
"145","Bexley",1998,"Michael Slaughter","Chris Duffield","Conservative",24,0,32,6,0.387096774193548,0
"146","Bexley",1999,"Michael Slaughter","Chris Duffield","Conservative",24,0,32,6,0.387096774193548,0
"147","Bexley",2000,"Michael Slaughter","Chris Duffield","Conservative",23,1,32,6,0.370967741935484,0
"148","Bexley",2001,"Michael Slaughter","Chris Duffield","Conservative",24,0,32,6,0.387096774193548,0
"149","Bexley",2002,"Chris Ball","Chris Duffield","Labour",32,0,30,1,0.507936507936508,1
"150","Bexley",2003,"Chris Ball","Nick Johnson","Labour",32,0,30,1,0.507936507936508,1
"151","Bexley",2004,"Chris Ball","Nick Johnson","Labour",32,0,30,1,0.507936507936508,1
"152","Bexley",2005,"Chris Ball","Nick Johnson","Labour",32,0,30,1,0.507936507936508,1
"153","Bexley",2006,"Ian Clement","Nick Johnson","Conservative",9,0,54,0,0.142857142857143,0
"154","Bexley",2007,"Ian Clement","Nick Johnson","Conservative",9,0,54,0,0.142857142857143,0
"155","Bexley",2008,"Teresa O'Neill","Will Tuckley","Conservative",9,0,54,0,0.142857142857143,0
"156","Bexley",2009,"Teresa O'Neill","Will Tuckley","Conservative",8,1,54,0,0.126984126984127,0
"157","Bexley",2010,"Teresa O'Neill","Will Tuckley","Conservative",11,0,52,0,0.174603174603175,0
"158","Bexley",2011,"Teresa O'Neill","Will Tuckley","Conservative",11,0,52,0,0.174603174603175,0
"159","Bexley",2012,"Teresa O'Neill","Will Tuckley","Conservative",11,0,52,0,0.174603174603175,0
"160","Bexley",2013,"Teresa O'Neill","Will Tuckley","Conservative",11,0,52,0,0.174603174603175,0
"161","Bexley",2014,"Teresa O'Neill","Will Tuckley","Conservative",15,0,45,0,0.25,0
"162","Bexley",2015,"Teresa O'Neill","Will Tuckley","Conservative",15,3,45,0,0.238095238095238,0
"163","Bexley",2016,"Teresa O'Neill","Gil Steward","Conservative",15,0,45,0,0.25,0
"164","Bexley",2017,"Teresa O'Neill","Gil Steward","Conservative",15,3,45,0,0.238095238095238,0
"165","Bexley",2018,"Theresa O'Neill","Jackie Belton","Conservative",11,0,34,0,0.244444444444444,0
"166","Brent",1964,"Reg Freeson","RS Forster","Labour",34,0,26,0,0.566666666666667,1
"167","Brent",1965,"John Hockey","RS Forster","Labour",34,0,26,0,0.566666666666667,1
"168","Brent",1966,"John Hockey","RS Forster","Labour",34,0,26,0,0.566666666666667,1
"169","Brent",1967,"George Marshall","RS Forster","Labour",34,0,26,0,0.566666666666667,1
"170","Brent",1968,"Alderman Edwin","RS Forster","Conservative",11,0,49,0,0.183333333333333,0
"171","Brent",1969,"Alderman Edwin","RS Forster","Conservative",11,0,49,0,0.183333333333333,0
"172","Brent",1970,"Alderman Edwin","RS Forster","Conservative",11,0,49,0,0.183333333333333,0
"173","Brent",1971,"P Hartley","RS Forster","Labour",38,0,22,0,0.633333333333333,1
"174","Brent",1972,"P Hartley","RS Forster","Labour",38,0,22,0,0.633333333333333,1
"175","Brent",1973,"P Hartley","RS Forster","Labour",38,0,22,0,0.633333333333333,1
"176","Brent",1974,"P Hartley","Kenneth Betts","Labour",35,0,24,0,0.593220338983051,1
"177","Brent",1975,"P Hartley","Kenneth Betts","Labour",35,0,24,0,0.593220338983051,1
"178","Brent",1976,"P Hartley","Kenneth Betts","Labour",35,0,24,0,0.593220338983051,1
"179","Brent",1977,"James Goudie","Kenneth Betts","Labour",35,0,24,0,0.593220338983051,1
"180","Brent",1978,"John Lebor","Kenneth Betts","Labour",39,0,27,0,0.590909090909091,1
"181","Brent",1979,"John Lebor","Kenneth Betts","Labour",39,0,27,0,0.590909090909091,1
"182","Brent",1980,"John Lebor","Michael Bichard","Labour",39,0,27,0,0.590909090909091,1
"183","Brent",1981,"Tom Bryson","Michael Bichard","Labour",39,0,27,0,0.590909090909091,1
"184","Brent",1982,"Tom Bryson","Michael Bichard","No Overall Control",33,0,30,3,0.5,0
"185","Brent",1983,"Martin Coleman","Michael Bichard","No Overall Control",33,0,30,3,0.5,0
"186","Brent",1984,"Martin Coleman","Michael Bichard","No Overall Control",33,0,30,3,0.5,0
"187","Brent",1985,"Martin Coleman","Michael Bichard","No Overall Control",33,0,30,3,0.5,0
"188","Brent",1986,"Merle Amory","Charles Wood","Labour",43,0,20,3,0.651515151515151,1
"189","Brent",1987,"Merle Amory","Charles Wood","Labour",43,0,20,3,0.651515151515151,1
"190","Brent",1988,"Dorman Long","Charles Wood","Labour",43,0,20,3,0.651515151515151,1
"191","Brent",1989,"Dorman Long","Charles Wood","Labour",43,0,20,3,0.651515151515151,1
"192","Brent",1990,"Bob BlackmanGroup leaders: 
Robert Blackman (Con), Dorman Long (Lab), 
John Hammond (LD)","Charles Wood","No Overall Control",29,0,31,6,0.439393939393939,0
"193","Brent",1991,"Bob Blackman","Charles Wood","No Overall ControlConservative minority",27,2,31,6,0.409090909090909,0
"194","Brent",1992,"Bob Blackman","Charles Wood","No Overall ControlConservative minority",27,2,31,6,0.409090909090909,0
"195","Brent",1993,"Bob Blackman","Charles Wood","No Overall ControlConservative minority",23,3,33,7,0.348484848484849,0
"196","Brent",1994,"Bob Blackman","Charles Wood","No Overall ControlConservative minority",28,0,33,5,0.424242424242424,0
"197","Brent",1995,"Bob Blackman","George Benham","No Overall ControlConservative minority",28,0,33,5,0.424242424242424,0
"198","Brent",1996,"Paul Daisley","George Benham","No Overall ControlLabour minority",28,0,33,5,0.424242424242424,0
"199","Brent",1997,"Paul Daisley","George Benham","No Overall ControlLabour minority",27,1,33,5,0.409090909090909,0
"200","Brent",1998,"Paul Daisley","Gareth Daniel","Labour",43,0,19,4,0.651515151515151,1
"201","Brent",1999,"Paul Daisley","Gareth Daniel","Labour",43,0,19,4,0.651515151515151,1
"202","Brent",2000,"Paul Daisley","Gareth Daniel","Labour",43,0,19,4,0.651515151515151,1
"203","Brent",2001,"Ann John","Gareth Daniel","Labour",43,0,19,4,0.651515151515151,1
"204","Brent",2002,"Ann John","Gareth Daniel","Labour",35,0,19,9,0.555555555555556,1
"205","Brent",2003,"Ann John","Gareth Daniel","Labour",35,0,19,9,0.555555555555556,1
"206","Brent",2004,"Ann John","Gareth Daniel","Labour",35,0,18,10,0.555555555555556,1
"207","Brent",2005,"Ann John","Gareth Daniel","Labour",34,0,17,10,0.557377049180328,1
"208","Brent",2006,"Paul Lorber","Gareth Daniel","No Overall Control",21,0,15,27,0.333333333333333,0
"209","Brent",2007,"Paul Lorber","Gareth Daniel","No Overall Control",21,0,15,27,0.333333333333333,0
"210","Brent",2008,"Paul Lorber","Gareth Daniel","No Overall Control",20,3,14,26,0.317460317460317,0
"211","Brent",2009,"Paul Lorber","Gareth Daniel","No Overall ControlLib Dem / Conservative coalition",20,2,14,27,0.317460317460317,0
"212","Brent",2010,"Ann John","Gareth Daniel","Labour",40,0,6,17,0.634920634920635,1
"213","Brent",2011,"Ann John","Gareth Daniel","Labour",40,0,6,17,0.634920634920635,1
"214","Brent",2012,"Muhammed Butt","Christine Gilbert","Labour",40,1,6,16,0.634920634920635,1
"215","Brent",2013,"Muhammed Butt","Christine Gilbert","Labour",40,1,6,16,0.634920634920635,1
"216","Brent",2014,"Muhammed Butt","Christine Gilbert","Labour",56,0,6,1,0.888888888888889,1
"217","Brent",2015,"Muhammed Butt","Carolyn Downs","Labour",56,0,6,1,0.888888888888889,1
"218","Brent",2016,"Muhammed Butt","Carolyn Downs","Labour",56,0,6,1,0.888888888888889,1
"219","Brent",2017,"Muhammed Butt","Carolyn Downs","Labour",56,1,6,0,0.888888888888889,1
"220","Brent",2018,"Muhammed Butt","Carolyn Downs","Labour",57,0,3,0,0.95,1
"221","Bromley",1964,"Unknown","Thomas Fagg","Conservative",15,0,38,7,0.25,0
"222","Bromley",1965,"Unknown","Thomas Fagg","Conservative",15,0,38,7,0.25,0
"223","Bromley",1966,"Unknown","Thomas Fagg","Conservative",15,0,38,7,0.25,0
"224","Bromley",1967,"Unknown","Thomas Fagg","Conservative",15,0,38,7,0.25,0
"225","Bromley",1968,"Unknown","Thomas Fagg","Conservative",5,0,52,3,0.0833333333333333,0
"226","Bromley",1969,"Unknown","Thomas Fagg","Conservative",5,0,52,3,0.0833333333333333,0
"227","Bromley",1970,"Unknown","Thomas Fagg","Conservative",5,0,52,3,0.0833333333333333,0
"228","Bromley",1971,"H W Haden","Percy Bunting","Conservative",15,0,41,4,0.25,0
"229","Bromley",1972,"Dennis Barkway","Percy Bunting","Conservative",15,0,41,4,0.25,0
"230","Bromley",1973,"Dennis Barkway","Percy Bunting","Conservative",15,0,41,4,0.25,0
"231","Bromley",1974,"Dennis Barkway","Percy Bunting","Conservative",14,0,44,2,0.233333333333333,0
"232","Bromley",1975,"Dennis Barkway","Percy Bunting","Conservative",14,0,44,2,0.233333333333333,0
"233","Bromley",1976,"Simon  Randall","Percy Bunting","Conservative",14,0,44,2,0.233333333333333,0
"234","Bromley",1977,"Simon Randall","Percy Bunting","Conservative",14,0,44,2,0.233333333333333,0
"235","Bromley",1978,"Simon Randall","Percy Bunting","Conservative",12,0,48,0,0.2,0
"236","Bromley",1979,"Simon Randall","Nigel Palk","Conservative",12,0,48,0,0.2,0
"237","Bromley",1980,"Simon Randall","Nigel Palk","Conservative",12,0,48,0,0.2,0
"238","Bromley",1981,"Dennis Barkway","Nigel Palk","Conservative",12,0,48,0,0.2,0
"239","Bromley",1982,"Dennis Barkway","Nigel Palk","Conservative",5,0,52,3,0.0833333333333333,0
"240","Bromley",1983,"Dennis Barkway","Nigel Palk","Conservative",5,0,52,3,0.0833333333333333,0
"241","Bromley",1984,"Dennis Barkway","Nigel Palk","Conservative",5,0,52,3,0.0833333333333333,0
"242","Bromley",1985,"Dennis Barkway","Nigel Palk","Conservative",5,0,52,3,0.0833333333333333,0
"243","Bromley",1986,"Dennis Barkway","Nigel Palk","Conservative",10,0,45,5,0.166666666666667,0
"244","Bromley",1987,"Dennis Barkway","Nigel Palk","Conservative",10,0,45,5,0.166666666666667,0
"245","Bromley",1988,"Dennis Barkway","Nigel Palk","Conservative",10,0,45,5,0.166666666666667,0
"246","Bromley",1989,"Dennis Barkway","Nigel Palk","Conservative",10,0,45,5,0.166666666666667,0
"247","Bromley",1990,"Dennis Barkway","Nigel Palk","Conservative",11,0,43,6,0.183333333333333,0
"248","Bromley",1991,"Dennis Barkway","Nigel Palk","Conservative",11,0,43,6,0.183333333333333,0
"249","Bromley",1992,"Dennis Barkway","Nigel Palk","Conservative",11,0,43,6,0.183333333333333,0
"250","Bromley",1993,"Dennis Barkway","Nigel Palk","Conservative",11,0,42,7,0.183333333333333,0
"251","Bromley",1994,"Dennis Barkway","Nigel Palk","Conservative",7,0,32,21,0.116666666666667,0
"252","Bromley",1995,"Dennis Barkway","Michael Blanch","Conservative",7,0,32,21,0.116666666666667,0
"253","Bromley",1996,"Frank Cooke","Michael Blanch","Conservative",7,0,32,21,0.116666666666667,0
"254","Bromley",1997,"Michael Tinkner","Michael Blanch","Conservative",7,0,32,21,0.116666666666667,0
"255","Bromley",1998,"Chris Maines & Sue Polydorou","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems",7,0,28,25,0.116666666666667,0
"256","Bromley",1999,"Chris Maines & John Holbrook","Michael Blanch","No Overall ControlCo-led by Labour and Lib Dems",7,0,29,24,0.116666666666667,0
"257","Bromley",2000,"Chris Maines & John Holbrook","David Bartlett","No Overall ControlCo-led by Labour and Lib Dems",7,0,30,23,0.116666666666667,0
"258","Bromley",2001,"Michael Tickner","David Bartlett","Conservative",6,1,32,22,0.0983606557377049,0
"259","Bromley",2002,"Michael Tickner","David Bartlett","Conservative",6,0,41,13,0.1,0
"260","Bromley",2003,"Russell Mellor","David Bartlett","Conservative",6,0,41,13,0.1,0
"261","Bromley",2004,"Stephen Carr","David Bartlett","Conservative",6,0,41,13,0.1,0
"262","Bromley",2005,"Stephen Carr","David Bartlett","Conservative",6,1,40,13,0.1,0
"263","Bromley",2006,"Stephen Carr","David Bartlett","Conservative",4,0,49,7,0.0666666666666667,0
"264","Bromley",2007,"Stephen Carr","Doug Patterson","Conservative",4,0,49,7,0.0666666666666667,0
