"","borough","year","party","seats","leader","clerk","control"
"58.3","Barnet",1966,"Liberal Democrats",6,"Unknown","RH Williams","Conservative"
"59.1","Barnet",1967,"Conservative",37,"Unknown","RH Williams","Conservative"
"59.2","Barnet",1967,"Labour Party",13,"Unknown","RH Williams","Conservative"
"59.3","Barnet",1967,"Liberal Democrats",6,"Unknown","RH Williams","Conservative"
"60.1","Barnet",1968,"Conservative",56,"Unknown","RH Williams","Conservative"
"60.2","Barnet",1968,"Labour Party",3,"Unknown","RH Williams","Conservative"
"60.3","Barnet",1968,"Liberal Democrats",1,"Unknown","RH Williams","Conservative"
"61.1","Barnet",1969,"Conservative",56,"Alan Philip Fletcher","RH Williams","Conservative"
"61.2","Barnet",1969,"Labour Party",3,"Alan Philip Fletcher","RH Williams","Conservative"
"61.3","Barnet",1969,"Liberal Democrats",1,"Alan Philip Fletcher","RH Williams","Conservative"
"62.1","Barnet",1970,"Conservative",56,"Alan Philip Fletcher","RH Williams","Conservative"
"62.2","Barnet",1970,"Labour Party",3,"Alan Philip Fletcher","RH Williams","Conservative"
"62.3","Barnet",1970,"Liberal Democrats",1,"Alan Philip Fletcher","RH Williams","Conservative"
"63.1","Barnet",1971,"Conservative",43,"Alan Philip Fletcher","RH Williams","Conservative"
"63.2","Barnet",1971,"Labour Party",17,"Alan Philip Fletcher","RH Williams","Conservative"
"64.1","Barnet",1972,"Conservative",43,"Alan Philip Fletcher","RH Williams","Conservative"
"64.2","Barnet",1972,"Labour Party",17,"Alan Philip Fletcher","RH Williams","Conservative"
"65.1","Barnet",1973,"Conservative",43,"Andrew Pares","RH Williams","Conservative"
"65.2","Barnet",1973,"Labour Party",17,"Andrew Pares","RH Williams","Conservative"
"66.1","Barnet",1974,"Conservative",42,"Andrew Pares","RH Williams","Conservative"
"66.2","Barnet",1974,"Labour Party",17,"Andrew Pares","RH Williams","Conservative"
"66.3","Barnet",1974,"Independent",1,"Andrew Pares","RH Williams","Conservative"
"67.1","Barnet",1975,"Conservative",42,"Andrew Pares","Ernest Michael Bennett","Conservative"
"67.2","Barnet",1975,"Labour Party",17,"Andrew Pares","Ernest Michael Bennett","Conservative"
"67.3","Barnet",1975,"Independent",1,"Andrew Pares","Ernest Michael Bennett","Conservative"
"68.1","Barnet",1976,"Conservative",42,"Leslie Pym","Ernest Michael Bennett","Conservative"
"68.2","Barnet",1976,"Labour Party",17,"Leslie Pym","Ernest Michael Bennett","Conservative"
"68.3","Barnet",1976,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"69.1","Barnet",1977,"Conservative",42,"Leslie Pym","Ernest Michael Bennett","Conservative"
"69.2","Barnet",1977,"Labour Party",17,"Leslie Pym","Ernest Michael Bennett","Conservative"
"69.3","Barnet",1977,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"70.1","Barnet",1978,"Conservative",49,"Leslie Pym","Ernest Michael Bennett","Conservative"
"70.2","Barnet",1978,"Labour Party",10,"Leslie Pym","Ernest Michael Bennett","Conservative"
"70.3","Barnet",1978,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"71.1","Barnet",1979,"Conservative",49,"Leslie Pym","Ernest Michael Bennett","Conservative"
"71.2","Barnet",1979,"Labour Party",10,"Leslie Pym","Ernest Michael Bennett","Conservative"
"71.3","Barnet",1979,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"72.1","Barnet",1980,"Conservative",49,"Leslie Pym","Ernest Michael Bennett","Conservative"
"72.2","Barnet",1980,"Labour Party",10,"Leslie Pym","Ernest Michael Bennett","Conservative"
"72.3","Barnet",1980,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"73.1","Barnet",1981,"Conservative",49,"Leslie Pym","Ernest Michael Bennett","Conservative"
"73.2","Barnet",1981,"Labour Party",10,"Leslie Pym","Ernest Michael Bennett","Conservative"
"73.3","Barnet",1981,"Independent",1,"Leslie Pym","Ernest Michael Bennett","Conservative"
"74.1","Barnet",1982,"Conservative",48,"Leslie Pym","Ernest Michael Bennett","Conservative"
"74.2","Barnet",1982,"Labour Party",12,"Leslie Pym","Ernest Michael Bennett","Conservative"
"75.1","Barnet",1983,"Conservative",48,"Leslie Pym","Ernest Michael Bennett","Conservative"
"75.2","Barnet",1983,"Labour Party",12,"Leslie Pym","Ernest Michael Bennett","Conservative"
"76.1","Barnet",1984,"Conservative",48,"Leslie Pym","Ernest Michael Bennett","Conservative"
"76.2","Barnet",1984,"Labour Party",12,"Leslie Pym","Ernest Michael Bennett","Conservative"
"77.1","Barnet",1985,"Conservative",48,"Leslie Pym","Ernest Michael Bennett","Conservative"
"77.2","Barnet",1985,"Labour Party",12,"Leslie Pym","Ernest Michael Bennett","Conservative"
"78.1","Barnet",1986,"Conservative",39,"Leslie Pym","Ernest Michael Bennett","Conservative"
"78.2","Barnet",1986,"Labour Party",18,"Leslie Pym","Ernest Michael Bennett","Conservative"
"78.3","Barnet",1986,"Liberal Democrats",3,"Leslie Pym","Ernest Michael Bennett","Conservative"
"79.1","Barnet",1987,"Conservative",39,"Leslie Pym","Ernest Michael Bennett","Conservative"
"79.2","Barnet",1987,"Labour Party",18,"Leslie Pym","Ernest Michael Bennett","Conservative"
"79.3","Barnet",1987,"Liberal Democrats",3,"Leslie Pym","Ernest Michael Bennett","Conservative"
"80.1","Barnet",1988,"Conservative",39,"Leslie Pym","Ernest Michael Bennett","Conservative"
"80.2","Barnet",1988,"Labour Party",18,"Leslie Pym","Ernest Michael Bennett","Conservative"
"80.3","Barnet",1988,"Liberal Democrats",3,"Leslie Pym","Ernest Michael Bennett","Conservative"
"81.1","Barnet",1989,"Conservative",39,"Leslie Pym","Ernest Michael Bennett","Conservative"
"81.2","Barnet",1989,"Labour Party",18,"Leslie Pym","Ernest Michael Bennett","Conservative"
"81.3","Barnet",1989,"Liberal Democrats",3,"Leslie Pym","Ernest Michael Bennett","Conservative"
"82.1","Barnet",1990,"Conservative",39,"Leslie Pym","Max Caller","Conservative"
"82.2","Barnet",1990,"Labour Party",18,"Leslie Pym","Max Caller","Conservative"
"82.3","Barnet",1990,"Liberal Democrats",3,"Leslie Pym","Max Caller","Conservative"
"83.1","Barnet",1991,"Conservative",39,"Roy Shutz","Max Caller","Conservative"
"83.2","Barnet",1991,"Labour Party",18,"Roy Shutz","Max Caller","Conservative"
"83.3","Barnet",1991,"Liberal Democrats",3,"Roy Shutz","Max Caller","Conservative"
"84.1","Barnet",1992,"Conservative",39,"Roy Shutz","Max Caller","Conservative"
"84.2","Barnet",1992,"Labour Party",18,"Roy Shutz","Max Caller","Conservative"
"84.3","Barnet",1992,"Liberal Democrats",3,"Roy Shutz","Max Caller","Conservative"
"85.1","Barnet",1993,"Conservative",39,"Roy Shutz","Max Caller","Conservative"
"85.2","Barnet",1993,"Labour Party",18,"Roy Shutz","Max Caller","Conservative"
"85.3","Barnet",1993,"Liberal Democrats",3,"Roy Shutz","Max Caller","Conservative"
"86.1","Barnet",1994,"Conservative",29,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"86.2","Barnet",1994,"Labour Party",25,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"86.3","Barnet",1994,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"87.1","Barnet",1995,"Conservative",29,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"87.2","Barnet",1995,"Labour Party",25,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"87.3","Barnet",1995,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"88.1","Barnet",1996,"Conservative",29,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"88.2","Barnet",1996,"Labour Party",25,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"88.3","Barnet",1996,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"89.1","Barnet",1997,"Conservative",29,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"89.2","Barnet",1997,"Labour Party",25,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"89.3","Barnet",1997,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall ControlLabour minority"
"90.1","Barnet",1998,"Conservative",28,"Alan Williams","Max Caller","No Overall Control"
"90.2","Barnet",1998,"Labour Party",26,"Alan Williams","Max Caller","No Overall Control"
"90.3","Barnet",1998,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall Control"
"91.1","Barnet",1999,"Conservative",28,"Alan Williams","Max Caller","No Overall Control"
"91.2","Barnet",1999,"Labour Party",26,"Alan Williams","Max Caller","No Overall Control"
"91.3","Barnet",1999,"Liberal Democrats",6,"Alan Williams","Max Caller","No Overall Control"
"92.1","Barnet",2000,"Conservative",28,"Alan Williams","Rita Dexter","No Overall Control"
"92.2","Barnet",2000,"Labour Party",26,"Alan Williams","Rita Dexter","No Overall Control"
"92.3","Barnet",2000,"Liberal Democrats",6,"Alan Williams","Rita Dexter","No Overall Control"
"93.1","Barnet",2001,"Conservative",28,"Alan Williams","Leo Boland","No Overall Control"
"93.2","Barnet",2001,"Labour Party",26,"Alan Williams","Leo Boland","No Overall Control"
"93.3","Barnet",2001,"Liberal Democrats",6,"Alan Williams","Leo Boland","No Overall Control"
"94.1","Barnet",2002,"Conservative",33,"Victor Lyon","Leo Boland","Conservative"
"94.2","Barnet",2002,"Labour Party",24,"Victor Lyon","Leo Boland","Conservative"
"94.3","Barnet",2002,"Liberal Democrats",6,"Victor Lyon","Leo Boland","Conservative"
"95.1","Barnet",2003,"Conservative",33,"Victor Lyon","Leo Boland","Conservative"
"95.2","Barnet",2003,"Labour Party",24,"Victor Lyon","Leo Boland","Conservative"
"95.3","Barnet",2003,"Liberal Democrats",6,"Victor Lyon","Leo Boland","Conservative"
"96.1","Barnet",2004,"Conservative",33,"Victor Lyon","Leo Boland","Conservative"
"96.2","Barnet",2004,"Labour Party",23,"Victor Lyon","Leo Boland","Conservative"
"96.3","Barnet",2004,"Liberal Democrats",6,"Victor Lyon","Leo Boland","Conservative"
"96.4","Barnet",2004,"Vacancies",1,"Victor Lyon","Leo Boland","Conservative"
"97.1","Barnet",2005,"Conservative",33,"Brian Salinger","Leo Boland","Conservative"
"97.2","Barnet",2005,"Labour Party",24,"Brian Salinger","Leo Boland","Conservative"
"97.3","Barnet",2005,"Liberal Democrats",6,"Brian Salinger","Leo Boland","Conservative"
"98.1","Barnet",2006,"Conservative",37,"Mike Freer","Leo Boland","Conservative"
"98.2","Barnet",2006,"Labour Party",20,"Mike Freer","Leo Boland","Conservative"
"98.3","Barnet",2006,"Liberal Democrats",6,"Mike Freer","Leo Boland","Conservative"
"99.1","Barnet",2007,"Conservative",37,"Mike Freer","Leo Boland","Conservative"
"99.2","Barnet",2007,"Labour Party",20,"Mike Freer","Leo Boland","Conservative"
"99.3","Barnet",2007,"Liberal Democrats",6,"Mike Freer","Leo Boland","Conservative"
"100.1","Barnet",2008,"Conservative",37,"Mike Freer","Leo Boland","Conservative"
"100.2","Barnet",2008,"Labour Party",20,"Mike Freer","Leo Boland","Conservative"
"100.3","Barnet",2008,"Liberal Democrats",6,"Mike Freer","Leo Boland","Conservative"
"101.1","Barnet",2009,"Conservative",37,"Mike Freer","Nick Walkley","Conservative"
"101.2","Barnet",2009,"Labour Party",20,"Mike Freer","Nick Walkley","Conservative"
"101.3","Barnet",2009,"Liberal Democrats",6,"Mike Freer","Nick Walkley","Conservative"
"102.1","Barnet",2010,"Conservative",39,"Lynne Hillan","Nick Walkley","Conservative"
"102.2","Barnet",2010,"Labour Party",21,"Lynne Hillan","Nick Walkley","Conservative"
"102.3","Barnet",2010,"Liberal Democrats",3,"Lynne Hillan","Nick Walkley","Conservative"
"103.1","Barnet",2011,"Conservative",39,"Richard Cornelius","Nick Walkley","Conservative"
"103.2","Barnet",2011,"Labour Party",21,"Richard Cornelius","Nick Walkley","Conservative"
"103.3","Barnet",2011,"Liberal Democrats",3,"Richard Cornelius","Nick Walkley","Conservative"
"104.1","Barnet",2012,"Conservative",38,"Richard Cornelius","Nick Walkley","Conservative"
"104.2","Barnet",2012,"Labour Party",22,"Richard Cornelius","Nick Walkley","Conservative"
"104.3","Barnet",2012,"Liberal Democrats",3,"Richard Cornelius","Nick Walkley","Conservative"
